1000	16	10264	10264	10264	10264	10264	10264	10264	10264	10264
10000	16	31576	31576	31576	31576	31576	31576	31576	31576	31576
100000	16	52312	52312	52312	52312	52312	52312	52312	52312	52312
1000000	16	81496	81496	81496	81496	81496	81496	81496	81496	81496
10000000	16	106072	106072	106072	106072	106072	106072	106072	106072	106072
100000000	16	134680	134680	134680	134680	134680	134680	134680	134680	134680
