Stream	Trials	Build	Update	Quantile	Rank	Serialize	Deserialize	Size
1000	256	712.148	51.2222	998.266	32.4457	313.281	409.574	4772
10000	256	147.891	83.656	2103.83	69.2809	590.668	897.047	12040
100000	256	427.699	100.778	44325.5	114.038	1846.04	2077.99	23452
1000000	256	1025.5	95.4291	9885.81	1338.43	1736.25	9128.09	33708
10000000	256	1222.25	96.5306	13435.2	207.168	2491.02	3392.62	48096
100000000	256	1203.5	104.226	17260.5	855.211	17426.1	24184.5	60692
