Stream	Trials	Build	Update	Quantile	Rank	Serialize	Deserialize	Size
1000	256	2571.85	5.93419	3914.22	3.89082	181.602	530.668	2784
10000	256	1204.08	106.165	1156.59	4.47285	226.875	621.371	3561.25
100000	256	246.133	133.29	10301	5.28906	298.441	728.535	4235.06
1000000	256	581.879	145.212	6183.48	7.2207	342.109	843.844	4714.56
10000000	256	722.902	156.367	8479.15	15.3672	424.812	1091.73	4921
100000000	256	761.504	170.171	8144.32	21.1699	488.492	1269.05	5141.38
