1	50	50	50	50	50
2	25	25	25	25	25
3	16.6667	16.6667	16.6667	16.6667	16.6667
4	12.5	12.5	12.5	37.5	37.5
5	10	10	30	30	30
6	8.33333	8.33333	25	25	25
7	7.14286	7.14286	21.4286	21.4286	21.4286
8	6.25	6.25	18.75	18.75	18.75
9	5.55556	5.55556	16.6667	16.6667	16.6667
10	5	5	15	15	15
11	4.54545	4.54545	13.6364	13.6364	13.6364
12	4.16667	4.16667	12.5	12.5	12.5
13	3.84615	3.84615	11.5385	11.5385	11.5385
15	3.33333	3.33333	10	10	10
16	3.125	3.125	9.375	9.375	9.375
17	2.94118	2.94118	8.82353	8.82353	8.82353
19	2.63158	2.63158	7.89474	7.89474	7.89474
21	2.38095	7.14286	7.14286	7.14286	7.14286
23	2.17391	2.17391	6.52174	6.52174	6.52174
25	2	2	6	10	6
27	1.85185	1.85185	5.55556	9.25926	5.55556
29	1.72414	1.72414	5.17241	8.62069	5.17241
32	1.5625	1.5625	4.6875	7.8125	4.6875
35	1.42857	4.28571	4.28571	7.14286	4.28571
38	1.31579	1.31579	3.94737	6.57895	6.57895
41	1.21951	3.65854	6.09756	6.09756	6.09756
45	1.11111	3.33333	3.33333	5.55556	3.33333
49	1.02041	3.06122	3.06122	5.10204	5.10204
54	0.925926	2.77778	4.62963	4.62963	4.62963
59	0.847458	2.54237	4.23729	4.23729	4.23729
64	0.78125	2.34375	3.90625	3.90625	3.90625
70	0.714286	2.14286	3.57143	3.57143	3.57143
76	0.657895	1.97368	3.28947	3.28947	3.28947
83	0.60241	1.80723	3.01205	4.21687	3.01205
91	0.549451	1.64835	2.74725	3.84615	3.84615
99	0.505051	1.51515	2.52525	3.53535	3.53535
108	0.462963	1.38889	2.31481	3.24074	3.24074
117	0.42735	1.28205	2.13675	2.99145	2.99145
128	0.390625	1.17188	1.95312	2.73438	2.73438
140	0.357143	1.07143	1.78571	2.5	2.5
152	0.986842	0.986842	2.30263	2.96053	2.30263
166	0.301205	0.903614	2.10843	2.71084	2.71084
181	0.828729	0.828729	1.9337	2.48619	2.48619
197	0.253807	0.761421	1.77665	2.79188	2.28426
215	0.697674	0.697674	1.62791	2.09302	2.09302
235	0.212766	0.638298	1.48936	2.34043	1.91489
256	0.585938	0.585938	1.36719	2.14844	2.14844
279	0.537634	0.537634	1.25448	2.32975	1.97133
304	0.493421	0.493421	1.48026	2.13816	1.80921
332	0.451807	0.451807	1.35542	1.95783	1.95783
362	0.414365	0.414365	1.51934	2.07182	1.79558
395	0.379747	0.379747	1.39241	1.89873	1.89873
431	0.348028	0.580046	1.2761	1.74014	1.74014
470	0.319149	0.319149	1.17021	1.80851	2.02128
512	0.292969	0.488281	1.07422	1.66016	1.66016
558	0.268817	0.448029	1.16487	1.70251	1.70251
609	0.246305	0.410509	1.06732	1.55993	1.72414
664	0.225904	0.376506	0.978916	1.73193	1.58133
724	0.207182	0.345304	1.03591	1.5884	1.5884
790	0.189873	0.316456	0.949367	1.58228	1.58228
861	0.174216	0.29036	0.87108	1.4518	1.56794
939	0.159744	0.266241	0.905218	1.4377	1.4377
1024	0.146484	0.244141	0.927734	1.51367	1.41602
1117	0.134288	0.223814	0.940018	1.38765	1.47717
1218	0.123153	0.205255	0.862069	1.35468	1.51888
1328	0.112952	0.188253	0.790663	1.31777	1.46837
1448	0.103591	0.172652	0.794199	1.48481	1.41575
1579	0.0949968	0.221659	0.854972	1.36162	1.36162
1722	0.087108	0.203252	0.783972	1.36469	1.36469
1878	0.0798722	0.186368	0.71885	1.30458	1.41108
2048	0.0732422	0.170898	0.756836	1.24512	1.29395
2233	0.0671742	0.15674	0.738916	1.27631	1.32109
2435	0.0616016	0.184805	0.718686	1.25257	1.29363
2656	0.0941265	0.131777	0.696536	1.22364	1.2613
2896	0.0517956	0.155387	0.673343	1.1913	1.29489
3158	0.079164	0.142495	0.680811	1.25079	1.25079
3444	0.07259	0.130662	0.65331	1.23403	1.23403
3756	0.0665602	0.119808	0.678914	1.18477	1.26464
4096	0.0610352	0.109863	0.646973	1.18408	1.23291
4467	0.055966	0.123125	0.638012	1.19767	1.24244
4871	0.0513242	0.112913	0.626155	1.18046	1.22152
5312	0.0470633	0.122364	0.611822	1.15776	1.23306
5793	0.0431555	0.112204	0.612809	1.14794	1.19972
6317	0.0395757	0.102897	0.593636	1.1477	1.17936
6889	0.0508056	0.108869	0.60241	1.11047	1.16853
7512	0.0465921	0.0998403	0.592386	1.11155	1.13818
8192	0.0427246	0.0915527	0.592041	1.11694	1.14136
8933	0.0391806	0.0951528	0.587708	1.13624	1.13624
9742	0.0359269	0.0872511	0.579963	1.13426	1.14453
10624	0.0329443	0.0988328	0.569465	1.10599	1.15305
11585	0.0302115	0.0906344	0.574018	1.0833	1.11782
12634	0.027703	0.0910242	0.597594	1.10416	1.11999
13777	0.0326631	0.076214	0.56979	1.07788	1.0924
15024	0.0299521	0.0765442	0.549121	1.09491	1.10823
16384	0.0274658	0.0762939	0.558472	1.06506	1.09558
17867	0.0251861	0.0811552	0.568086	1.06061	1.11099
19484	0.0230959	0.07442	0.54147	1.04445	1.10604
