1	50	50	50	50	50
2	25	25	25	25	25
3	16.6667	16.6667	50	50	50
4	12.5	12.5	12.5	37.5	37.5
5	10	10	30	30	30
6	8.33333	8.33333	25	25	25
7	7.14286	7.14286	21.4286	21.4286	21.4286
8	6.25	6.25	18.75	18.75	18.75
9	5.55556	5.55556	16.6667	16.6667	16.6667
10	5	5	15	15	15
11	4.54545	4.54545	13.6364	13.6364	13.6364
12	4.16667	4.16667	12.5	12.5	12.5
13	3.84615	3.84615	11.5385	11.5385	11.5385
15	3.33333	3.33333	10	10	10
16	3.125	3.125	9.375	9.375	9.375
17	2.94118	2.94118	8.82353	8.82353	8.82353
19	2.63158	2.63158	7.89474	7.89474	7.89474
21	2.38095	2.38095	7.14286	7.14286	7.14286
23	2.17391	6.52174	6.52174	10.8696	6.52174
25	2	6	6	10	6
27	1.85185	1.85185	5.55556	9.25926	5.55556
29	1.72414	1.72414	5.17241	8.62069	5.17241
32	1.5625	1.5625	4.6875	7.8125	4.6875
35	1.42857	1.42857	7.14286	7.14286	7.14286
38	1.31579	1.31579	3.94737	6.57895	3.94737
41	1.21951	3.65854	3.65854	6.09756	3.65854
45	1.11111	1.11111	3.33333	5.55556	5.55556
49	1.02041	3.06122	5.10204	5.10204	5.10204
54	0.925926	2.77778	4.62963	4.62963	4.62963
59	0.847458	2.54237	4.23729	4.23729	4.23729
64	0.78125	2.34375	2.34375	3.90625	3.90625
70	0.714286	2.14286	3.57143	3.57143	3.57143
76	0.657895	1.97368	3.28947	3.28947	3.28947
83	0.60241	1.80723	3.01205	4.21687	3.01205
91	0.549451	1.64835	2.74725	3.84615	2.74725
99	0.505051	1.51515	2.52525	3.53535	2.52525
108	0.462963	1.38889	2.31481	3.24074	3.24074
117	1.28205	1.28205	2.13675	2.99145	2.99145
128	0.390625	1.17188	1.95312	2.73438	2.73438
140	0.357143	1.07143	2.5	3.21429	2.5
152	0.328947	0.986842	2.30263	2.96053	2.30263
166	0.301205	0.903614	2.10843	2.71084	2.71084
181	0.276243	0.828729	1.9337	2.48619	2.48619
197	0.253807	0.761421	1.77665	2.79188	2.28426
215	0.697674	0.697674	1.62791	2.09302	2.09302
235	0.638298	0.638298	1.48936	2.34043	1.91489
256	0.585938	0.585938	1.36719	2.14844	2.14844
279	0.537634	0.537634	1.6129	2.32975	1.97133
304	0.493421	0.493421	1.48026	2.13816	1.80921
332	0.451807	0.451807	1.35542	1.95783	2.25904
362	0.414365	0.414365	1.51934	1.79558	2.07182
395	0.379747	0.379747	1.39241	1.89873	1.89873
431	0.348028	0.580046	1.2761	1.74014	1.74014
470	0.319149	0.319149	1.17021	1.80851	1.80851
512	0.292969	0.292969	1.07422	1.66016	1.85547
558	0.268817	0.268817	1.16487	1.70251	1.70251
609	0.246305	0.410509	1.06732	1.55993	1.72414
664	0.225904	0.376506	0.978916	1.58133	1.58133
724	0.207182	0.345304	1.03591	1.5884	1.5884
790	0.189873	0.316456	0.949367	1.58228	1.58228
861	0.174216	0.29036	0.987224	1.56794	1.56794
939	0.159744	0.266241	1.01171	1.4377	1.4377
1024	0.146484	0.244141	0.927734	1.51367	1.41602
1117	0.134288	0.223814	0.850492	1.38765	1.38765
1218	0.123153	0.205255	0.779967	1.35468	1.51888
1328	0.112952	0.188253	0.865964	1.46837	1.39307
1448	0.103591	0.241713	0.93232	1.41575	1.41575
1579	0.0949968	0.221659	0.79164	1.36162	1.48828
1722	0.087108	0.203252	0.783972	1.30662	1.36469
1878	0.0798722	0.186368	0.772098	1.25133	1.35783
2048	0.0732422	0.170898	0.756836	1.34277	1.34277
2233	0.0671742	0.15674	0.783699	1.27631	1.32109
2435	0.0616016	0.184805	0.718686	1.29363	1.3347
2656	0.0564759	0.169428	0.734187	1.2613	1.2613
2896	0.086326	0.155387	0.707873	1.26036	1.26036
3158	0.079164	0.142495	0.680811	1.21913	1.25079
3444	0.07259	0.130662	0.682346	1.23403	1.23403
3756	0.0665602	0.146432	0.65229	1.2114	1.26464
4096	0.0610352	0.134277	0.646973	1.23291	1.2085
4467	0.055966	0.123125	0.638012	1.22006	1.19767
4871	0.0513242	0.112913	0.667214	1.18046	1.18046
5312	0.0658886	0.122364	0.687123	1.19541	1.17658
5793	0.0431555	0.112204	0.630071	1.14794	1.18246
6317	0.055406	0.102897	0.593636	1.13187	1.19519
6889	0.0508056	0.0943533	0.616926	1.1395	1.16853
7512	0.0465921	0.0998403	0.579073	1.12487	1.15149
8192	0.0427246	0.10376	0.604248	1.11694	1.14136
8933	0.0391806	0.0951528	0.598903	1.10265	1.14743
9742	0.0359269	0.0975159	0.579963	1.124	1.124
10624	0.0329443	0.0894202	0.569465	1.1154	1.12481
11585	0.0302115	0.0906344	0.565386	1.07467	1.10919
12634	0.0356182	0.0831091	0.550103	1.0725	1.11999
13777	0.0326631	0.0834725	0.548015	1.09966	1.13595
15024	0.0299521	0.0765442	0.569089	1.08826	1.10157
16384	0.0274658	0.0762939	0.564575	1.05896	1.09558
17867	0.0251861	0.0755583	0.551296	1.06621	1.12218
19484	0.0282283	0.07442	0.572264	1.04958	1.08037
