1	10	664	664	664	1176	1176	1176	3224	3224	3224
2	10	664	664	664	1176	1176	1176	3224	3224	3224
3	10	664	664	664	1176	1176	1176	3224	3224	3224
4	10	664	664	664	1176	1176	1176	3224	3224	3224
5	10	664	664	664	1176	1176	1176	3224	3224	3224
6	10	664	664	664	1176	1176	1176	3224	3224	3224
7	10	664	664	664	1176	1176	1176	3224	3224	3224
8	10	664	664	664	1176	1176	1176	3224	3224	3224
9	10	664	664	664	1176	1176	1176	3224	3224	3224
10	10	664	664	664	1176	1176	1176	3224	3224	3224
11	10	664	664	664	1176	1176	1176	3224	3224	3224
12	10	664	664	664	1176	1176	1176	3224	3224	3224
13	10	664	664	664	1176	1176	1176	3224	3224	3224
14	10	664	664	664	1176	1176	1176	3224	3224	3224
15	10	664	664	664	1176	1176	1176	3224	3224	3224
16	10	664	664	664	1176	1176	1176	3224	3224	3224
17	10	664	664	664	1176	1176	1176	3224	3224	3224
18	10	664	664	664	1176	1176	1176	3224	3224	3224
19	10	664	664	664	1176	1176	1176	3224	3224	3224
20	10	664	664	664	1176	1176	1176	3224	3224	3224
21	10	664	664	664	1176	1176	1176	3224	3224	3224
22	10	664	664	664	1176	1176	1176	3224	3224	3224
23	10	664	664	664	1176	1176	1176	3224	3224	3224
24	10	664	664	664	1176	1176	1176	3224	3224	3224
25	10	664	664	664	1176	1176	1176	3224	3224	3224
26	10	664	664	664	1176	1176	1176	3224	3224	3224
27	10	664	664	664	1176	1176	1176	3224	3224	3224
28	10	664	664	664	1176	1176	1176	3224	3224	3224
29	10	664	664	664	1176	1176	1176	3224	3224	3224
31	10	664	664	664	1176	1176	1176	3224	3224	3224
32	10	664	664	664	1176	1176	1176	3224	3224	3224
33	10	664	664	664	1176	1176	1176	3224	3224	3224
35	10	664	664	664	1176	1176	1176	3224	3224	3224
36	10	664	664	664	1176	1176	1176	3224	3224	3224
38	10	664	664	664	1176	1176	1176	3224	3224	3224
40	10	664	664	664	1176	1176	1176	3224	3224	3224
41	10	664	664	664	1176	1176	1176	3224	3224	3224
43	10	664	664	664	1176	1176	1176	3224	3224	3224
45	10	664	664	664	1176	1176	1176	3224	3224	3224
47	10	664	664	664	1176	1176	1176	3224	3224	3224
49	10	664	664	664	1176	1176	1176	3224	3224	3224
52	10	664	664	664	1176	1176	1176	3224	3224	3224
54	10	664	664	664	1176	1176	1176	3224	3224	3224
56	10	664	664	664	1176	1176	1176	3224	3224	3224
59	10	664	664	664	1176	1176	1176	3224	3224	3224
61	10	664	664	664	1176	1176	1176	3224	3224	3224
64	10	664	664	664	1176	1176	1176	3224	3224	3224
67	10	664	664	664	1176	1176	1176	3224	3224	3224
70	10	664	664	664	1176	1176	1176	3224	3224	3224
73	10	664	664	664	1176	1176	1176	3224	3224	3224
76	10	664	664	664	1176	1176	1176	3224	3224	3224
79	10	664	664	664	1176	1176	1176	3224	3224	3224
83	10	664	664	664	1176	1176	1176	3224	3224	3224
87	10	664	664	664	1176	1176	1176	3224	3224	3224
91	10	664	664	664	1176	1176	1176	3224	3224	3224
95	10	664	664	664	1176	1176	1176	3224	3224	3224
99	10	664	664	664	1176	1176	1176	3224	3224	3224
103	10	664	664	664	1176	1176	1176	3224	3224	3224
108	10	664	664	664	1176	1176	1176	3224	3224	3224
112	10	664	664	664	1176	1176	1176	3224	3224	3224
117	10	664	664	664	1176	1176	1176	3224	3224	3224
123	10	664	664	664	1176	1176	1176	3224	3224	3224
128	10	664	664	664	1176	1176	1176	3224	3224	3224
134	10	664	664	664	1176	1176	1176	3224	3224	3224
140	10	664	664	664	1176	1176	1176	3224	3224	3224
146	10	664	664	664	1176	1176	1176	3224	3224	3224
152	10	664	664	664	1176	1176	1176	3224	3224	3224
159	10	664	664	664	1176	1176	1176	3224	3224	3224
166	10	664	664	664	1176	1176	1176	3224	3224	3224
173	10	664	664	664	1176	1176	1176	3224	3224	3224
181	10	664	664	664	1176	1176	1176	3224	3224	3224
189	10	664	664	664	1176	1176	1176	3224	3224	3224
197	10	664	664	664	1176	1176	1176	3224	3224	3224
206	10	664	664	664	1176	1176	1176	3224	3224	3224
215	10	664	664	664	1176	1176	1176	3224	3224	3224
225	10	664	664	664	1176	1176	1176	3224	3224	3224
235	10	664	664	664	1176	1176	1176	3224	3224	3224
245	10	664	664	664	1176	1176	1176	3224	3224	3224
256	10	664	664	664	1176	1176	1176	3224	3224	3224
267	10	664	664	664	1176	1176	1176	3224	3224	3224
279	10	664	664	664	1176	1176	1176	3224	3224	3224
292	10	664	664	664	1176	1176	1176	3224	3224	3224
304	10	664	664	664	1176	1176	1176	3224	3224	3224
318	10	664	664	664	1176	1176	1176	3224	3224	3224
332	10	664	664	664	1176	1176	1176	3224	3224	3224
347	10	664	664	664	1176	1176	1176	3224	3224	3224
362	10	664	664	664	1176	1176	1176	3224	3224	3224
378	10	664	664	664	1176	1176	1176	3224	3224	3224
395	10	664	664	664	1176	1176	1176	3224	3224	3224
412	10	664	664	664	1176	1176	1176	3224	3224	3224
431	10	664	664	664	1176	1176	1176	3224	3224	3224
450	10	664	664	664	1176	1176	1176	3224	3224	3224
470	10	664	664	664	1176	1176	1176	3224	3224	3224
490	10	664	664	664	1176	1176	1176	3224	3224	3224
512	10	664	664	664	1176	1176	1176	3224	3224	3224
535	10	664	664	664	1176	1176	1176	3224	3224	3224
558	10	664	664	664	1176	1176	1176	3224	3224	3224
583	10	664	664	664	1176	1176	1176	3224	3224	3224
609	10	664	664	664	1176	1176	1176	3224	3224	3224
636	10	664	664	664	1176	1176	1176	3224	3224	3224
664	10	664	664	664	1176	1176	1176	3224	3224	3224
693	10	664	664	664	1176	1176	1176	3224	3224	3224
724	10	664	664	664	1176	1176	1176	3224	3224	3224
756	10	664	664	664	1176	1176	1176	3224	3224	3224
790	10	664	664	664	1176	1176	1176	3224	3224	3224
825	10	664	664	664	1176	1176	1176	3224	3224	3224
861	10	664	664	664	1176	1176	1176	3224	3224	3224
899	10	664	664	664	1176	1176	1176	3224	3224	3224
939	10	664	664	664	1176	1176	1176	3224	3224	3224
981	10	664	664	664	1176	1176	1176	3224	3224	3224
1024	10	664	664	664	1176	1176	1176	3224	3224	3224
1069	10	664	664	664	1176	1176	1176	3224	3224	3224
1117	10	664	664	664	1176	1176	1176	3224	3224	3224
1166	10	664	664	664	1176	1176	1176	3224	3224	3224
1218	10	664	664	664	1176	1176	1176	3224	3224	3224
1272	10	664	664	664	1176	1176	1176	3224	3224	3224
1328	10	664	664	664	1176	1176	1176	3224	3224	3224
1387	10	664	664	664	1176	1176	1176	3224	3224	3224
1448	10	664	664	664	1176	1176	1176	3224	3224	3224
1512	10	664	664	664	1176	1176	1176	3224	3224	3224
1579	10	664	664	664	1176	1176	1176	3224	3224	3224
1649	10	664	664	664	1176	1176	1176	3224	3224	3224
1722	10	664	664	664	1176	1176	1176	3224	3224	3224
1798	10	664	664	664	1176	1176	1176	3224	3224	3224
1878	10	664	664	664	1176	1176	1176	3224	3224	3224
1961	10	664	664	664	1176	1176	1176	3224	3224	3224
2048	10	664	664	664	1176	1176	1176	3224	3224	3224
2139	10	664	664	664	1176	1176	1176	3224	3224	3224
2233	10	664	664	664	1176	1176	1176	3224	3224	3224
2332	10	664	664	664	1176	1176	1176	3224	3224	3224
2435	10	664	664	664	1176	1176	1176	3224	3224	3224
2543	10	664	664	664	1176	1176	1176	3224	3224	3224
2656	10	664	664	664	1176	1176	1176	3224	3224	3224
2774	10	664	664	664	1176	1176	1176	3224	3224	3224
2896	10	664	664	664	1176	1176	1176	3224	3224	3224
3025	10	664	664	664	1176	1176	1176	3224	3224	3224
3158	10	664	664	664	1176	1176	1176	3224	3224	3224
3298	10	664	664	664	1176	1176	1176	3224	3224	3224
3444	10	664	664	664	1176	1176	1176	3224	3224	3224
3597	10	664	664	664	1176	1176	1176	3224	3224	3224
3756	10	664	664	664	1176	1176	1176	3224	3224	3224
3922	10	664	664	664	1176	1176	1176	3224	3224	3224
