1	65536	39.4653	108.198	73
2	48483	31.1661	110.421	84.8839
3	40647	53.5787	140.941	96.6425
4	35868	37.036	108.283	108.287
5	32552	40.1832	93.6797	119.799
6	30071	33.8128	78.9996	131.213
7	28121	38.8171	71.4539	142.504
8	26535	33.4776	68.1832	153.672
9	25211	36.1912	60.228	164.843
10	24082	37.5311	71.1369	175.739
11	23104	41.0496	67.5573	186.637
12	22246	37.8178	68.5273	197.343
13	21486	36.2868	60.1627	208.068
14	20804	36.9222	54.7165	218.759
15	20189	35.4589	56.3481	228.921
16	19631	36.4392	52.5732	239.459
17	19120	33.1063	54.9097	249.858
18	18651	36.8093	52.2729	259.746
19	18217	35.8882	50.9748	269.859
20	17816	31.408	48.0975	280.008
21	17442	52.8226	44.9845	289.81
22	17092	31.8784	43.222	299.5
23	16765	36.2983	41.8378	309.219
24	16458	30.4296	39.2375	318.711
25	16168	56.3413	41.6516	328.085
26	15895	34.2842	39.6333	337.824
27	15636	31.933	37.9276	347.155
28	15391	35.404	38.8661	356.511
29	15158	30.7533	35.7568	365.648
31	14725	46.2583	36.0306	383.672
32	14523	35.0894	35.3475	392.534
33	14330	40.2266	33.1029	401.341
35	13968	41.8778	33.424	418.875
36	13798	41.3577	34.343	427.297
38	13477	31.9616	29.8172	444.856
40	13180	36.8297	31.525	461.247
41	13039	31.1882	28.4459	469.669
43	12772	39.2963	29.5628	485.907
45	12522	33.3461	28.3858	501.757
47	12287	31.587	26.5614	517.604
49	12067	35.2455	26.7611	532.765
52	11759	39.0736	26.1128	555.561
54	11568	38.9969	27.1961	570.38
56	11386	43.5776	24.5092	584.838
59	11131	32.9952	25.1171	606.658
61	10971	32.3625	23.0505	620.606
64	10744	39.647	26.0754	640.719
67	10532	35.9269	21.9299	660.991
70	10333	32.466	22.4392	679.897
73	10147	33.757	22.4842	699.347
76	9970	34.08	22.059	718.568
79	9804	36.466	21.8073	736.796
83	9596	31.4725	19.6339	761.013
87	9401	30.6697	18.3949	784.015
91	9219	37.9544	20.8461	806.342
95	9048	31.5426	18.2324	828.716
99	8888	34.0712	19.1661	848.97
103	8736	36.0417	18.1265	869.567
108	8558	34.5004	16.8987	895.154
112	8423	35.2562	17.6155	914.06
117	8265	34.0876	16.2839	937.999
123	8087	35.4134	16.5347	965.006
