1	65536	198.356	33.0711	12
2	48483	91.7802	14.2475	36
3	40647	115.079	17.7768	40
4	35868	94.0742	16.2987	44
5	32552	124.65	17.7631	48
6	30071	123.088	17.1505	52
7	28121	114.984	15.4235	56
8	26535	103.383	12.6967	60
9	25211	94.5476	10.6956	64
10	24082	85.9077	9.75624	68
11	23104	87.4095	9.86916	72
12	22246	81.8494	9.29204	76
13	21486	76.967	8.20356	80
14	20804	61.167	7.08763	84
15	20189	74.6194	7.74703	88
16	19631	67.8583	7.39184	92
17	19120	75.084	6.73962	96
18	18651	44.654	5.50251	100
19	18217	61.3461	6.53534	104
20	17816	66.156	6.61065	108
21	17442	74.6658	6.75112	112
22	17092	66.3324	6.1936	116
23	16765	63.5933	6.36824	120
24	16458	51.7583	6.14803	124
25	16168	71.9884	6.47201	128
26	15895	64.2054	6.272	132
27	15636	57.1066	5.31632	136
28	15391	55.2154	5.85976	140
29	15158	63.5494	5.80732	144
31	14725	61.0583	5.81052	152
32	14523	43.7994	3.99397	156
33	14330	47.3648	4.88604	160
35	13968	55.1784	5.07588	168
36	13798	51.0383	4.95231	172
38	13477	50.7614	4.64521	180
40	13180	47.409	4.74626	188
41	13039	57.0275	4.7407	192
43	12772	45.1517	3.94206	200
45	12522	44.8805	4.49838	208
47	12287	42.9591	4.06536	216
49	12067	50.224	4.00551	224
52	11759	46.9383	3.96636	236
54	11568	48.8498	4.08366	244
56	11386	47.6651	3.87362	252
59	11131	58.0411	4.21354	264
61	10971	50.5239	3.51242	272
64	10744	42.8866	3.43523	284
67	10532	43.8058	3.65553	296
70	10333	46.7978	3.36568	308
73	10147	50.6507	3.80213	320
76	9970	50.5614	3.88391	332
79	9804	42.8083	3.50162	344
83	9596	43.4662	3.19923	360
87	9401	46.1131	3.21171	376
91	9219	43.7256	3.15327	392
95	9048	42.9055	3.1337	408
99	8888	45.4899	3.29634	424
103	8736	56.6421	3.35449	440
108	8558	45.1842	3.25341	460
112	8423	45.5871	3.2547	476
117	8265	79.586	3.4753	496
123	8087	44.3357	2.99021	520
128	7948	45.7042	3.10654	540
134	7792	45.0385	2.97496	564
140	7645	59.118	3.15531	588
146	7506	83.4471	3.35809	612
152	7376	88.4262	3.35911	636
159	7233	67.3744	3.39243	664
166	7099	52.2259	2.96686	692
173	6972	45.2685	2.87093	720
181	6837	44.6539	2.83601	752
189	6709	44.4853	2.82553	784
197	6590	44.3781	2.80752	816
206	6463	44.5292	2.78834	852
215	6344	45.0429	2.81098	888
225	6220	44.7558	2.7628	928
235	6103	44.8611	2.76281	968
245	5993	42.7217	19.4642	964
256	5880	35.8376	17.7774	1008
267	5773	49.054	17.7938	1052
279	5664	40.0357	16.8001	1100
292	5553	39.089	15.9706	1152
304	5457	39.5673	15.3699	1200
318	5351	40.4603	14.9476	1256
332	5252	37.9703	14.3842	1312
347	5152	38.0111	13.7982	1372
362	5058	39.0832	13.3419	1432
378	4963	40.699	13.0184	1496
395	4869	40.4586	12.4052	1564
412	4781	40.0653	12.1018	1632
431	4688	44.2867	11.7709	1708
450	4601	40.9937	11.181	1784
470	4515	39.0602	10.839	1864
490	4434	39.7235	10.5155	1944
512	4350	49.0871	27.4128	1432
535	4268	86.0574	28.2243	1524
558	4190	51.7205	25.0012	1616
583	4111	63.836	24.2036	1716
609	4034	58.0773	23.4392	1820
636	3959	75.9975	22.5777	1928
664	3885	60.5712	30.8389	1820
693	3813	72.5049	30.2116	1936
724	3742	73.7501	37.0911	1628
756	3672	106.111	35.2688	1756
790	3602	73.4098	33.9469	1892
825	3535	73.8467	32.5544	2032
861	3470	71.8666	30.375	2176
899	3405	78.2059	29.146	2328
939	3342	82.5018	27.9261	2488
981	3279	79.4605	26.7955	2656
1024	3218	82.464	25.8513	2828
1069	3158	80.9129	24.7832	3008
1117	3099	77.2669	23.7236	3200
1166	3041	81.655	33.7157	2532
1218	2984	92.6783	32.3477	2740
1272	2928	89.5697	31.0028	2956
1328	2874	101.357	30.02	3180
1387	2820	82.184	36.6969	2764
1448	2768	94.5524	35.6794	3008
1512	2716	66.7113	33.8087	3264
1579	2666	61.7599	37.1824	2896
1649	2616	61.4113	35.6924	3176
1722	2567	61.1519	34.3216	3468
1798	2519	46.1274	32.9443	3772
1878	2472	80.2629	32.8994	4092
1961	2426	71.1018	31.2777	4424
2048	2381	81.2911	38.5347	3212
2139	2336	70.9294	36.447	3576
2233	2293	90.9049	34.4077	3952
2332	2250	79.248	33.0477	4348
2435	2208	74.8886	37.6611	3688
2543	2167	92.5339	36.5461	4120
2656	2126	91.3641	35.5752	4572
2774	2086	97.1256	39.3311	3932
2896	2048	96.9629	37.4758	4420
3025	2009	86.8333	35.0655	4936
3158	1972	84.9767	37.9734	4260
3298	1935	112.091	36.6018	4820
3444	1899	122.206	39.6812	4500
3597	1863	107.313	41.1589	4456
3756	1829	96.2674	38.4381	5092
3922	1795	86.2886	42.8493	4532
4096	1761	100.729	44.7006	4164
4277	1728	138.889	42.8167	4888
4467	1696	124.472	43.1697	5648
4664	1664	119.904	42.3243	5120
4871	1633	107.521	40.6642	5948
5087	1603	131.075	42.1755	5384
5312	1573	134.188	44.2521	4844
5547	1543	97.1283	41.5222	5784
5793	1515	102.292	42.2968	5400
6049	1486	100.161	42.6685	5456
6317	1459	102.722	43.51	5340
6597	1431	117.167	44.3941	5072
6889	1405	97.4527	42.1678	6240
7194	1378	149.807	42.5662	5892
7512	1353	144.49	43.2779	6184
7845	1327	127.518	44.036	5708
8192	1303	121.8	43.5467	6356
8555	1278	104.729	43.9295	6360
8933	1255	139.288	45.2313	6268
9329	1231	82.0983	44.5635	5748
9742	1208	133.972	42.6152	7400
10173	1186	136.419	43.1303	7524
10624	1163	161.545	43.0743	7772
11094	1142	129.6	42.8433	7936
11585	1120	147.825	45.0761	7244
12098	1099	140.409	44.3655	7636
12634	1079	133.284	44.1004	8160
13193	1059	121.102	44.4303	8568
13777	1039	137.76	44.548	8276
14387	1020	151.722	43.9384	9164
15024	1001	166.679	45.346	8744
15689	982	118.271	44.9158	9496
16384	964	91.6141	45.9269	8660
17109	946	117.364	46.8254	9200
17867	928	143.616	46.8563	9468
18658	911	124.896	48.1836	8700
19484	894	277.179	48.164	8560
20347	877	376.562	47.6863	10096
21247	861	373.94	47.5035	9860
22188	845	311.192	48.2941	8740
23170	829	306.245	47.6138	10040
24196	813	350.057	48.1749	9820
25268	798	324.992	47.4814	10624
