1	65536	94.3577	29.6269	12
2	48483	94.0856	22.4923	40
3	40647	77.9846	15.8919	48
4	35868	83.4397	11.9276	56
5	32552	82.9776	8.7392	64
6	30071	67.9688	5.18129	72
7	28121	74.1219	6.54842	80
8	26535	67.8074	5.17073	88
9	25211	55.6517	4.62254	96
10	24082	70.7143	5.85512	104
11	23104	62.8563	5.76038	112
12	22246	61.1184	5.44424	120
13	21486	51.6838	4.41488	128
14	20804	52.1678	4.332	136
15	20189	57.6619	5.09123	144
16	19631	65.2757	5.40628	152
17	19120	80.3248	5.64746	160
18	18651	150.946	6.10353	168
19	18217	58.2298	5.28683	176
20	17816	68.1073	5.53521	184
21	17442	66.1041	5.2921	192
22	17092	64.6051	5.73113	200
23	16765	54.9851	5.10467	208
24	16458	47.3918	5.32899	216
25	16168	56.3052	5.45801	224
26	15895	69.3765	5.52653	232
27	15636	63.5766	5.42995	240
28	15391	58.5975	5.59577	248
29	15158	60.2534	5.47352	256
31	14725	49.6242	5.43307	272
32	14523	47.6353	5.0004	280
33	14330	58.4519	5.35488	288
35	13968	48.4854	5.01138	304
36	13798	47.506	5.16871	312
38	13477	53.5805	5.1219	328
40	13180	50.6788	5.27529	344
41	13039	64.6685	5.17379	352
43	12772	50.8837	5.07823	368
45	12522	52.3644	5.10796	384
47	12287	46.3093	5.19954	400
49	12067	58.3995	5.16487	416
52	11759	49.1497	5.3787	440
54	11568	42.3813	5.12215	456
56	11386	38.5923	5.16096	472
59	11131	41.2011	5.10313	496
61	10971	38.4416	5.03173	512
64	10744	38.2054	5.04114	536
67	10532	39.4821	5.11174	560
70	10333	39.4891	5.0682	584
73	10147	41.1046	5.11991	608
76	9970	39.8017	5.11926	632
79	9804	37.4678	5.1003	656
83	9596	40.9143	5.15868	688
87	9401	39.1048	5.10691	720
91	9219	40.8052	5.14614	752
95	9048	37.3127	5.12494	784
99	8888	42.2794	5.14936	816
103	8736	43.8065	5.13982	848
108	8558	44.6183	5.17715	888
112	8423	48.5257	5.32552	920
117	8265	46.5578	5.22753	960
123	8087	46.7395	5.21955	1008
128	7948	47.9781	5.29522	1048
134	7792	44.9401	5.20602	1096
140	7645	55.1583	5.36888	1144
146	7506	45.3128	5.27854	1192
152	7376	52.4429	5.55189	1240
159	7233	44.6329	5.22466	1240
166	7099	47.4934	5.2775	1192
173	6972	48.4304	5.2645	1192
181	6837	54.0519	5.25897	1200
189	6709	46.2677	5.25811	1208
197	6590	48.0593	5.26131	1224
206	6463	49.0568	5.40444	1248
215	6344	46.5121	5.29935	1272
225	6220	41.1955	5.24394	1264
235	6103	42.6906	5.21996	1256
245	5993	39.1201	5.21579	1264
256	5880	39.5536	5.22644	1272
267	5773	53.2406	5.36768	1280
279	5664	58.3358	5.43192	1296
292	5553	50.4073	5.29304	1288
304	5457	41.6676	5.26776	1296
318	5351	41.5986	5.24523	1296
332	5252	42.9789	5.22561	1304
347	5152	43.9701	5.24931	1312
362	5058	51.1657	5.31981	1304
378	4963	46.3159	5.27724	1320
395	4869	54.8813	5.27337	1328
412	4781	48.8082	5.28277	1328
431	4688	51.6308	5.33001	1328
450	4601	48.2482	5.30287	1344
470	4515	48.8627	5.32059	1344
490	4434	52.1326	5.41671	1344
512	4350	42.0595	5.27747	1352
535	4268	41.1701	5.25356	1352
558	4190	43.542	5.25346	1360
583	4111	40.8669	5.25191	1360
609	4034	44.032	5.25553	1360
636	3959	40.8565	5.26864	1368
664	3885	40.773	5.2572	1368
693	3813	47.6722	5.31092	1376
724	3742	50.7977	5.30846	1376
756	3672	50.6356	5.37847	1384
790	3602	76.8032	5.31872	1384
825	3535	52.5112	5.30881	1384
861	3470	55.7873	5.31815	1392
899	3405	43.933	5.28581	1392
