Stream	Trials	Build	Update	Quantile	Rank	Serialize	Deserialize	Size
1000	256	22507	4.37075	2318.78	73.1445	408.695	1915.07	2784
10000	256	349.629	71.1715	896.526	93.9205	428.379	1503.61	3561.5
100000	256	262.98	66.3231	4889.35	129.861	537.414	1764.03	4237.19
1000000	256	572.609	67.7515	5034.55	142.286	756.824	2390.95	4717.38
10000000	256	1538.24	68.1288	2993.97	156.559	1343.61	3874.16	4923.56
100000000	256	2071.48	69.8184	4084.4	169.164	1554.21	6804.91	5139.94
