1	50	50	50	50	50
2	25	25	25	25	25
3	16.6667	16.6667	16.6667	16.6667	16.6667
4	37.5	37.5	37.5	37.5	37.5
5	30	30	30	30	30
6	25	25	25	25	25
7	21.4286	21.4286	21.4286	21.4286	21.4286
8	18.75	18.75	18.75	6.25	6.25
9	16.6667	16.6667	16.6667	5.55556	5.55556
10	15	15	15	15	15
11	13.6364	13.6364	13.6364	13.6364	13.6364
12	12.5	12.5	12.5	4.16667	4.16667
13	11.5385	11.5385	11.5385	3.84615	3.84615
15	10	10	10	10	10
16	9.375	9.375	9.375	9.375	9.375
17	8.82353	8.82353	8.82353	2.94118	2.94118
19	7.89474	7.89474	7.89474	7.89474	7.89474
21	7.14286	7.14286	7.14286	7.14286	7.14286
23	10.8696	6.52174	6.52174	6.52174	2.17391
25	6	6	6	6	6
27	5.55556	9.25926	5.55556	5.55556	1.85185
29	8.62069	8.62069	5.17241	5.17241	1.72414
32	7.8125	7.8125	7.8125	4.6875	1.5625
35	7.14286	7.14286	4.28571	4.28571	1.42857
38	6.57895	6.57895	6.57895	3.94737	3.94737
41	3.65854	6.09756	6.09756	3.65854	3.65854
45	5.55556	5.55556	5.55556	3.33333	3.33333
49	3.06122	5.10204	5.10204	3.06122	3.06122
54	4.62963	4.62963	4.62963	2.77778	2.77778
59	4.23729	4.23729	4.23729	2.54237	2.54237
64	5.46875	5.46875	3.90625	2.34375	0.78125
70	5	5	3.57143	2.14286	2.14286
76	3.28947	4.60526	3.28947	1.97368	0.657895
83	4.21687	5.42169	3.01205	1.80723	0.60241
91	3.84615	4.94505	2.74725	1.64835	1.64835
99	3.53535	4.54545	3.53535	1.51515	0.505051
108	3.24074	5.09259	3.24074	1.38889	1.38889
117	3.84615	4.70085	2.99145	1.28205	1.28205
128	3.51562	3.51562	2.73438	1.17188	1.17188
140	3.21429	3.92857	2.5	1.07143	1.07143
152	2.96053	3.61842	2.30263	0.986842	0.986842
166	3.31325	3.31325	2.10843	0.903614	0.903614
181	3.59116	3.03867	2.48619	0.828729	0.828729
197	2.79188	3.29949	2.28426	0.761421	0.761421
215	3.02326	3.02326	2.09302	0.697674	0.697674
235	2.76596	2.76596	1.91489	0.638298	0.638298
256	2.53906	2.53906	1.75781	0.585938	0.585938
279	2.68817	2.68817	1.97133	0.537634	0.537634
304	2.79605	2.79605	1.80921	0.493421	0.493421
332	2.25904	2.56024	1.65663	0.753012	0.451807
362	2.34807	2.62431	1.51934	0.690608	0.414365
395	2.40506	2.65823	1.64557	0.632911	0.379747
431	2.43619	2.43619	1.50812	0.580046	0.348028
470	2.23404	2.44681	1.59574	0.531915	0.319149
512	2.44141	2.44141	1.46484	0.488281	0.292969
558	2.24014	2.24014	1.5233	0.448029	0.268817
609	2.05255	2.21675	1.39573	0.410509	0.246305
664	2.03313	2.33434	1.28012	0.376506	0.225904
724	2.00276	2.14088	1.31215	0.345304	0.207182
790	1.70886	1.96203	1.32911	0.316456	0.189873
861	1.91638	2.14866	1.21951	0.29036	0.174216
939	1.86368	2.18317	1.3312	0.372737	0.159744
1024	1.9043	2.09961	1.2207	0.341797	0.146484
1117	1.74575	2.10385	1.20859	0.313339	0.134288
1218	1.76519	2.01149	1.19048	0.287356	0.123153
1328	1.76958	1.99548	1.09187	0.263554	0.188253
1448	1.76105	1.89917	1.1395	0.241713	0.103591
1579	1.42495	1.99493	1.1083	0.284991	0.158328
1722	1.65505	1.94541	1.07433	0.261324	0.14518
1878	1.51757	1.89031	1.03834	0.239617	0.13312
2048	1.44043	1.92871	1.00098	0.219727	0.12207
2233	1.63457	1.8137	1.00761	0.201523	0.111957
2435	1.3347	1.78645	1.04723	0.184805	0.102669
2656	1.4119	1.75075	0.96009	0.169428	0.0941265
2896	1.12224	1.77831	0.949586	0.189917	0.086326
3158	0.997467	1.75744	1.02913	0.174161	0.079164
3444	1.00174	1.69861	0.972706	0.188734	0.07259
3756	0.998403	1.79712	0.945154	0.173056	0.0665602
4096	0.98877	1.67236	0.891113	0.158691	0.0610352
4467	0.996194	1.69017	0.929035	0.145512	0.055966
4871	0.995689	1.57052	0.91357	0.153972	0.0718538
5312	1.00715	1.60956	0.894202	0.160015	0.0658886
5793	0.992577	1.63128	0.906266	0.146729	0.0604177
6317	1.00522	1.59095	0.894412	0.134558	0.055406
6889	0.994339	1.53143	0.878212	0.137901	0.0508056
7512	1.00506	1.48429	0.832002	0.126464	0.0465921
8192	0.994873	1.43433	0.848389	0.128174	0.0427246
8933	1.0019	1.46088	0.822792	0.128736	0.0391806
9742	1.00082	1.39088	0.836584	0.118046	0.0461917
10624	1.00245	1.35072	0.842432	0.127071	0.0423569
11585	0.996979	1.33362	0.81571	0.11653	0.0474752
12634	1.00127	1.32579	0.795473	0.11477	0.0356182
13777	0.99804	1.28838	0.794803	0.119765	0.0399216
15024	1.00173	1.28128	0.775426	0.109824	0.0366081
16384	0.997925	1.22375	0.778198	0.119019	0.0335693
17867	0.999049	1.22292	0.79756	0.10914	0.0363799
19484	0.998255	1.23435	0.762164	0.105215	0.0282283
21247	1.00014	1.19782	0.764814	0.101191	0.0305926
