Stream	Trials	Build	Update	Quantile	Rank	Serialize	Deserialize	Size
1000	256	3707.5	4.69124	2891.77	126.124	467.324	2166.46	2784
10000	256	245.738	62.7996	971.289	120.737	408.711	1405.27	3562.69
100000	256	3353.08	65.2609	6078.06	144.012	562.316	3725.12	4233.06
1000000	256	460.605	65.588	3833.36	155.109	905.941	2459.01	4712.56
10000000	256	1743.46	65.646	3093.8	177.962	1326.98	4396.92	4918.12
100000000	256	2593.91	66.463	3327.08	187.701	1637.04	5185.55	5143.38
